/usr/bin/python3 /home/eap/pycharm-2019.2/helpers/pydev/pydevd.py --multiproc --qt-support=auto --client 127.0.0.1 --port 45705 --file /opt/ssd.pytorch/train.py --dataset_root ./data/SIXRay --dataset SIXRAY
pydev debugger: process 21244 is connecting

Connected to pydev debugger (build 192.5728.105)
/opt/ssd.pytorch/ssd.py:34: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  self.priors = Variable(self.priorbox.forward(), volatile=True)
Loading base network...
Initializing weights...
/opt/ssd.pytorch/train.py:227: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  init.xavier_uniform(param)
Loading the dataset...
Training SSD on: SIXRay
Using the specified args:
Namespace(basenet='vgg16_reducedfc.pth', batch_size=32, cuda=True, dataset='SIXRAY', dataset_root='./data/SIXRay', gamma=0.1, lr=0.0001, momentum=0.9, num_workers=0, resume=None, save_folder='weights/', start_iter=0, visdom=False, weight_decay=0.0005)
/opt/ssd.pytorch/train.py:182: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  targets = [Variable(ann.cuda(), volatile=True) for ann in targets]
/usr/local/lib/python3.7/dist-packages/torch/nn/_reduction.py:43: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
timer: 8.3067 sec.
iter 840 || Loss: 3.6790 || timer: 0.3337 sec.
iter 850 || Loss: 3.6454 || timer: 0.3322 sec.
iter 860 || Loss: 3.4290 || timer: 0.3325 sec.
iter 870 || Loss: 3.2501 || timer: 0.3318 sec.
iter 880 || Loss: 3.9720 || timer: 0.3363 sec.
iter 890 || Loss: 3.6021 || timer: 0.3322 sec.
iter 900 || Loss: 3.7478 || timer: 0.3351 sec.
iter 910 || Loss: 3.4075 || timer: 0.3328 sec.
iter 920 || Loss: 3.2634 || timer: 0.3313 sec.
iter 930 || Loss: 3.5841 || timer: 0.3332 sec.
iter 940 || Loss: 3.9493 || timer: 0.3346 sec.
iter 950 || Loss: 3.8646 || timer: 0.3321 sec.
iter 960 || Loss: 3.6685 || timer: 0.3331 sec.
iter 970 || Loss: 3.5246 || timer: 0.3316 sec.
iter 980 || Loss: 3.3449 || timer: 0.3335 sec.
iter 990 || Loss: 3.3254 || timer: 0.3325 sec.
iter 1000 || Loss: 3.6831 || timer: 0.3333 sec.
iter 1010 || Loss: 3.4138 || timer: 0.3329 sec.
iter 1020 || Loss: 3.5482 || timer: 0.3345 sec.
iter 1030 || Loss: 3.4622 || timer: 0.3317 sec.
iter 1040 || Loss: 3.1964 || timer: 0.3310 sec.
iter 1050 || Loss: 3.9294 || timer: 0.3351 sec.
